File_name,Individual,Which_ear,Objective,Temperature,HatchingState,AgeGroup,Clutch,Age_days,Age_hours,Age_mins,Age_secs,Age,Img,RampDiff,R-R2,LampDiff,L-R2,AverageAmp,AverageR2,Stage,Hair_width,Sypse_width,Scan_date ,Slice_size ,Z_first,Z_last,Surface_type,N_images_in_sequence,Kaylee_Image_number_HC,Kaylee_N_hair_cells,Kaylee_Total_N_of_hair_cells,Kaylee_HC_to_HC_length_um,Kaylee_HC_to_HC_surface_area,Kaylee_HC_to_HC_surface_area_SubsDiffs,Kaylee_HC_surface_length_um,Kaylee_HC_surface_area,Kaylee_HC_notes,Avital_Image_number_HC,Avital_N_hair_cells,Avital_Total_N_of_hair_cells,Avital_HC_to_HC_length_um,Avital_HC_to_HC_surface_area,Avital_HC_to_HC_surface_area_SubsDiffs,HumanError,Avital_HC_surface_length_um,Avital_HC_surface_area,Avital_HC_notes,Kaylee_Image_number_SYN,Kaylee_N_synapses,Kaylee_Total_N_synapses,Kaylee_SYN_notes,Avital_Image_number_SYN,Avital_N_synapses,Avital_Total_N_synapses,Avital_SYN_notes,Julie_Image_number_SYN,Julie_N_synapses,Julie_Total_N_synapses,Julie_SYN_notes,Kaylee_Image_number_SICE,Kaylee_SiCE_N_synapses,Trial_2,Notes
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,18,7,NA,140.658,NA,NA,165.709,NA,NA,18,5,NA,70.982,NA,NA,#VALUE!,108.061,NA,NA,32,2,NA,NA,22,0,NA,NA,22,2,NA,NA,5,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,22,5,NA,132.237,NA,NA,161.57,NA,NA,22,5,NA,80.189,NA,NA,#VALUE!,105.262,NA,NA,34,1,NA,NA,31,1,NA,No synapses observed between slides 22 and 31,24,0,NA,NA,7,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,26,4,NA,88.578,NA,NA,141.816,NA,NA,26,3,NA,56.322,NA,NA,#VALUE!,122.88,NA,NA,36,1,NA,NA,33,2,NA,NA,26,0,NA,NA,9,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,30,7,NA,68.603,NA,NA,135.521,NA,NA,30,3,NA,42.532,NA,NA,#VALUE!,107.926,NA,NA,NA,NA,NA,NA,35,1,NA,NA,28,1,NA,NA,11,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,34,4,NA,75.638,NA,NA,108.957,NA,NA,34,2,NA,13.542,NA,NA,#VALUE!,95.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,13,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,NA,NA,15,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,NA,NA,17,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,19,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA
